"","season","team","Clutch_Shots_Attempted","Clutch_Shots_Made","Clutch_FG_Percentage"
"413",2018,"Charlotte",11,5,45.5
"414",2019,"Colorado",11,5,45.5
"415",2019,"Miami",11,5,45.5
"416",2020,"Maine",11,5,45.5
"417",2020,"Marquette",11,5,45.5
"418",2020,"UMass",11,5,45.5
"419",2020,"Wofford",22,10,45.5
"420",2020,"Lamar",31,14,45.2
"421",2020,"Grand Canyon",20,9,45
"422",2016,"Northwestern",29,13,44.8
"423",2016,"Holy Cross",9,4,44.4
"424",2016,"Maine",9,4,44.4
"425",2016,"South Florida",27,12,44.4
"426",2017,"Clemson",9,4,44.4
"427",2017,"Drexel",9,4,44.4
"428",2017,"Oregon State",9,4,44.4
"429",2017,"Wisconsin",9,4,44.4
"430",2018,"Hampton",9,4,44.4
"431",2018,"Minnesota",18,8,44.4
"432",2018,"Tennessee",9,4,44.4
"433",2020,"DePaul",9,4,44.4
"434",2020,"Miami (OH)",18,8,44.4
"435",2020,"UL Monroe",9,4,44.4
"436",2017,"Virginia",34,15,44.1
"437",2016,"Florida",16,7,43.8
"438",2018,"Rutgers",16,7,43.8
"439",2016,"Iowa",23,10,43.5
"440",2020,"VCU",23,10,43.5
"441",2016,"Charlotte",7,3,42.9
"442",2016,"Colorado",7,3,42.9
"443",2016,"Duke",14,6,42.9
"444",2016,"Kansas State",7,3,42.9
"445",2016,"Liberty",7,3,42.9
"446",2016,"Mississippi State",14,6,42.9
"447",2016,"Saint Louis",7,3,42.9
"448",2016,"Temple",14,6,42.9
"449",2016,"Utah",14,6,42.9
"450",2017,"Colorado State",7,3,42.9
"451",2017,"Duke",7,3,42.9
"452",2017,"Florida",14,6,42.9
"453",2018,"East Tennessee State",7,3,42.9
"454",2019,"Duke",7,3,42.9
"455",2019,"IUPUI",7,3,42.9
"456",2019,"New Mexico",7,3,42.9
"457",2020,"Green Bay",21,9,42.9
"458",2020,"Lafayette",14,6,42.9
"459",2020,"Mississippi Valley State",7,3,42.9
"460",2020,"South Carolina State",7,3,42.9
"461",2020,"Troy",7,3,42.9
"462",2020,"UIC",7,3,42.9
"463",2017,"Tennessee",26,11,42.3
"464",2020,"Boise State",26,11,42.3
"465",2019,"Texas",19,8,42.1
"466",2020,"Prairie View A&M",19,8,42.1
"467",2018,"West Virginia",12,5,41.7
"468",2020,"North Dakota State",12,5,41.7
"469",2017,"Georgia Tech",29,12,41.4
"470",2018,"Kansas State",17,7,41.2
"471",2018,"Ole Miss",17,7,41.2
"472",2019,"Oregon State",17,7,41.2
"473",2020,"Miami",17,7,41.2
"474",2016,"Boise State",5,2,40
"475",2016,"Boston College",5,2,40
"476",2016,"Chattanooga",5,2,40
"477",2016,"Detroit Mercy",5,2,40
"478",2016,"Evansville",5,2,40
"479",2016,"North Texas",5,2,40
"480",2016,"Northern Iowa",5,2,40
"481",2016,"Oregon",5,2,40
"482",2017,"Florida State",5,2,40
"483",2017,"Northwestern",10,4,40
